Probe Set ID,GSM1008929_Salinity_T.CEL(normalized),GSM1008930_Salinity_C.CEL(normalized)
PsAffx.CL248Contig1_at,0.048349142,-0.048349142
PsAffx.CL249Contig1_at,0.027504444,-0.027504444
PsAffx.CL250Contig1_at,-0.04189372,0.04189372
PsAffx.C46000025_at,-0.3592825,0.3592825
PsAffx.psZS001xH16f_s_at,0.20857525,-0.20857525
PsAffx.CL253Contig1_at,0.0476079,-0.0476079
GmaAffx.53621.1.S1_s_at,0.12570906,-0.12570906
PsAffx.CL255Contig1_at,0.13523102,-0.13523078
PsAffx.CL257Contig1_at,-0.041042805,0.041042805
PsAffx.CL258Contig1_at,0.100016594,-0.100016594
PsAffx.CL259Contig1_at,0.07946491,-0.07946491
PsAffx.CL260Contig1_s_at,0,0
PsAffx.CL261Contig1_at,0.053810358,-0.053810358
PsAffx.CL261Contig1_s_at,-0.03141284,0.03141284
PsAffx.CL262Contig1_at,-0.0476079,0.0476079
PsAffx.CL263Contig1_at,0.07946491,-0.079464674
PsAffx.CL265Contig1_at,0.09466648,-0.09466648
PsAffx.CL266Contig1_at,0.011235952,-0.011235952
PsAffx.CL267Contig1_at,0.117506266,-0.117506266
PsAffx.CL267Contig1_s_at,0.19597745,-0.19597769
PsAffx.CL268Contig1_at,0.14279461,-0.14279461
PsAffx.CL269Contig1_at,-0.02335596,0.02335596
PsAffx.CL270Contig1_at,0.053810596,-0.053810596
PsAffx.CL271Contig1_at,-0.09409094,0.09409094
PsAffx.CL273Contig1_at,0,0
PsAffx.CL274Contig1_at,-0.14081287,0.14081287
PsAffx.CL275Contig1_at,-0.17612362,0.17612362
PsAffx.CL277Contig1_at,0.007849216,-0.007849216
PsAffx.C51000021_s_at,-0.09378767,0.09378743
PsAffx.CL279Contig1_at,0.10812378,-0.10812378
PsAffx.CL280Contig1_at,-0.2462635,0.2462635
PsAffx.C73000021_s_at,0.053657055,-0.053657055
PsAffx.CL285Contig1_at,-0.044447184,0.044447422
PsAffx.CL288Contig1_at,0.05162382,-0.05162382
PsAffx.CL289Contig1_at,0.10768843,-0.10768843
PsAffx.CL291Contig1_at,-0.10857868,0.10857868
PsAffx.CL292Contig1_at,0.17612386,-0.17612362
PsAffx.CL293Contig1_at,0,0
PsAffx.CL294Contig1_at,-0.0966146,0.0966146
PsAffx.CL295Contig1_at,-0.04617977,0.04617977
PsAffx.C114000009_s_at,-0.04617977,0.04617977
PsAffx.C92000029_s_at,-0.044447422,0.044447422
PsAffx.C46000011_at,-0.05035436,0.05035448
PsAffx.C99000037_s_at,0.20270848,-0.20270824
PsAffx.CL300Contig1_at,-0.026987553,0.026987314
PsAffx.CL301Contig1_at,-0.08240056,0.08240056
PsAffx.CL302Contig1_at,0.06769276,-0.06769276
PsAffx.C99000055_s_at,-0.1342299,0.1342299
PsAffx.CL305Contig1_at,0.20358372,-0.20358372
