geneID,Mt_Mapped_count,Mt_RPKM,H2O_Mapped_count,H2O_RPKM,NaCl_Mapped_count,NaCl_RPKM,Na&Mt_Mapped_count,Na&Mt_RPKM
Glyma01g02050.1|PACid:16243110,48,2.35,94,4.581,92,3.618,123,3.737
Glyma01g02050.2|PACid:16243111,110,5.387,85,4.142,123,4.837,133,4.041
Glyma01g02060.1|PACid:16243112,2222,20.418,1791,16.378,5107,37.688,2774,15.815
Glyma01g02070.1|PACid:16243113,14,0.563,10,0.4,4,0,18,0.449
Glyma01g02090.1|PACid:16243115,596,23.631,1052,41.51,711,22.64,1421,34.957
Glyma01g02100.1|PACid:16243116,656,14.567,541,11.956,698,12.448,803,11.064
Glyma01g02110.1|PACid:16243117,660,29.657,1661,74.278,1071,38.65,2666,74.328
Glyma01g02120.1|PACid:16243118,463,17.684,647,24.593,740,22.699,852,20.191
Glyma01g02140.1|PACid:16243120,174,5.648,30,0.969,55,1.434,43,0.866
Glyma01g02150.1|PACid:16243121,1444,57.056,1365,53.674,2276,72.224,2311,56.655
Glyma01g02170.1|PACid:16243123,0,0,1,0,0,0,0,0
Glyma01g02180.1|PACid:16243124,543,26.253,2596,124.907,1275,49.507,2502,75.054
Glyma01g02190.1|PACid:16243125,32,1.58,59,2.9,89,3.53,80,2.452
Glyma01g02190.2|PACid:16243126,43,2.142,54,2.677,76,3.041,69,2.133
Glyma01g02200.1|PACid:16243127,98,6.684,109,7.399,177,9.695,206,8.718
Glyma01g02240.1|PACid:16243132,215,3.555,136,2.238,141,1.872,238,2.442
Glyma01g02250.1|PACid:16243133,1367,42.449,2480,76.64,2418,60.303,3556,68.512
Glyma01g02270.1|PACid:16243135,143,8.49,102,6.027,83,3.958,147,5.415
Glyma01g02270.2|PACid:16243136,92,6.129,75,4.972,62,3.317,100,4.133
Glyma01g02280.1|PACid:16243137,272,9.77,470,16.801,392,11.308,420,9.36
Glyma01g02290.1|PACid:16243138,58,2.994,208,10.684,80,3.316,184,5.892
Glyma01g02300.1|PACid:16243139,33,1.269,43,1.645,11,0,53,1.264
Glyma01g02320.1|PACid:16243141,379,20.199,386,20.473,1113,47.639,1031,34.092
Glyma01g02330.1|PACid:16243142,215,3.727,1014,17.493,353,4.914,619,6.658
Glyma01g02340.1|PACid:16243143,538,9.052,733,12.274,670,9.054,914,9.542
Glyma01g02350.1|PACid:16243144,667,21.23,291,9.218,456,11.656,309,6.102
Glyma01g02350.2|PACid:16243145,598,19.034,265,8.394,446,11.401,329,6.497
Glyma01g02350.3|PACid:16243146,640,20.371,331,10.485,440,11.247,315,6.221
Glyma01g02360.1|PACid:16243147,179,16.15,5,0.449,32,2.319,6,0.336
Glyma01g02380.1|PACid:16243149,137,3.544,84,2.162,110,2.285,152,2.439
Glyma01g02390.1|PACid:16243150,1429,48.878,155,5.276,89,2.445,141,2.992
Glyma01g02390.2|PACid:16243151,1048,38.244,238,8.643,305,8.939,268,6.068
Glyma01g02400.1|PACid:16243152,14562,195.615,25545,341.498,45517,491.055,40244,335.418
Glyma01g02420.1|PACid:16243153,362,9.58,482,12.694,638,13.559,773,12.692
